Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[GET] Homepage,7767,1622,459,7713,673.33,0.06%,2.15762,3487.69,129.44,1655248.5
[GET] Open Login page,2448,250,10,2248,311.95,0.04%,0.68073,7.24,1.43,10883.8
[POST] Login,2448,431,224,2638,272.03,0.08%,0.68071,11.78,3.18,17726.7
Login Action,2448,681,302,3747,505.25,0.12%,0.68068,19.02,4.61,28610.6
[GET] Select Category,5597,833,0,5587,587.98,0.36%,1.55796,259.14,74.51,170323.9
[GET] Select Sub-Category,5593,840,82,4180,565.6,0.07%,1.55848,286.45,85.17,188212.8
[GET] Product details,5590,616,0,3912,427.32,0.16%,1.55833,154.06,26.97,101236.1
Transaction Controller - Browse,3872,2525,427,7581,1106.32,0.36%,1.07924,554.35,150.02,525977.3
[POST] Search product - Autocomplete,6966,144,1,1805,150.07,0.03%,1.94393,44.75,2.89,23570.6
[GET] Search,2321,223,61,1843,226.57,0.39%,0.64798,18.9,2.68,29866.7
Search by term,2320,655,237,3971,419.76,0.47%,0.64787,63.63,5.58,100579.2
[GET] Open Product - Search result,2320,482,87,2355,334.3,0.39%,0.64803,69.71,7.49,110152.5
Transaction Controller - Search,2320,1138,378,5178,593.52,0.86%,0.64783,133.32,13.06,210731.7
[POST] Add product to cart,1716,150,0,1649,174.12,0.06%,0.48151,1.49,0.84,3163
[POST] Ajax Add to cart,1716,71,36,1034,62.14,0.00%,0.48151,1.73,0.84,3668.8
Transaction Controller - Add to cart,1716,1985,440,7154,1159.51,0.93%,0.48081,148.96,38.4,317247.1
[GET] View cart,1716,153,47,2576,153.33,0.00%,0.48157,7.15,1.57,15212.2
[POST] Update product quantity,170,163,67,1587,188.45,0.00%,0.0487,0.1,0.1,2141.6
[POST] Ajax cart refresh,170,97,55,855,96.18,0.00%,0.0487,0.48,0.1,10069.8
[POST] Ajax update cart,170,75,52,555,44.34,0.00%,0.0487,0.04,0.1,808
[GET] View  cart,170,96,66,204,23.04,0.00%,0.0487,0.61,0.1,12865.4
Update cart,170,432,251,2076,243.7,0.00%,0.0487,1.23,0.39,25884.8
TOTAL,67491,734,0,7713,863.95,0.19%,18.74481,5263.78,547.8,287552.4
