Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[GET] Homepage,7767,1622,1616,2404,2704,3495,459,7713,0.06%,2.15762,3487.69,129.44
[GET] Open Login page,2448,250,101,715,937,1480,10,2248,0.04%,0.68073,7.24,1.43
[POST] Login,2448,431,301,772,989,1488,224,2638,0.08%,0.68071,11.78,3.18
Login Action,2448,681,411,1447,1768,2432,302,3747,0.12%,0.68068,19.02,4.61
[GET] Select Category,5597,833,716,1631,1915,2561,0,5587,0.36%,1.55796,259.14,74.51
[GET] Select Sub-Category,5593,840,778,1603,1845,2504,82,4180,0.07%,1.55848,286.45,85.17
[GET] Product details,5590,616,508,1183,1471,2014,0,3912,0.16%,1.55833,154.06,26.97
Transaction Controller - Browse,3872,2525,2447,3961,4460,5465,427,7581,0.36%,1.07924,554.35,150.02
[POST] Search product - Autocomplete,6966,144,102,231,419,886,1,1805,0.03%,1.94393,44.75,2.89
[GET] Search,2321,223,123,512,681,1118,61,1843,0.39%,0.64798,18.9,2.68
Search by term,2320,655,504,1193,1496,2248,237,3971,0.47%,0.64787,63.63,5.58
[GET] Open Product - Search result,2320,482,390,912,1139,1698,87,2355,0.39%,0.64803,69.71,7.49
Transaction Controller - Search,2320,1138,1001,1884,2241,3231,378,5178,0.86%,0.64783,133.32,13.06
[POST] Add product to cart,1716,150,85,363,535,860,0,1649,0.06%,0.48151,1.49,0.84
[POST] Ajax Add to cart,1716,71,63,84,94,259,36,1034,0.00%,0.48151,1.73,0.84
Transaction Controller - Add to cart,1716,1985,1659,3695,4262,5339,440,7154,0.93%,0.48081,148.96,38.4
[GET] View cart,1716,153,119,182,352,932,47,2576,0.00%,0.48157,7.15,1.57
[POST] Update product quantity,170,163,94,359,531,849,67,1587,0.00%,0.0487,0.1,0.1
[POST] Ajax cart refresh,170,97,79,116,149,650,55,855,0.00%,0.0487,0.48,0.1
[POST] Ajax update cart,170,75,66,93,99,224,52,555,0.00%,0.0487,0.04,0.1
[GET] View  cart,170,96,90,126,137,164,66,204,0.00%,0.0487,0.61,0.1
Update cart,170,432,343,735,907,1403,251,2076,0.00%,0.0487,1.23,0.39
TOTAL,67491,734,398,1902,2458,3840,0,7713,0.19%,18.74481,5263.78,547.8
