Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[GET] Homepage,5887,10007,10401,13036,13914,15680,480,18697,0.27%,1.50893,2439.03,90.52
[GET] Open Login page,1981,2869,3192,5926,6458,7254,0,8608,0.51%,0.50837,5.38,1.06
[POST] Login,1981,2322,2230,4197,4865,6997,1,9848,0.25%,0.50825,8.79,2.37
Login Action,1981,5191,6061,8552,9148,10922,2,15176,0.71%,0.50821,14.17,3.44
[GET] Select Category,4238,4864,4937,8884,9946,11712,0,13600,0.76%,1.08833,181.82,52.69
[GET] Select Sub-Category,4231,4521,4871,8727,9682,11560,4,15385,0.76%,1.08731,199.38,59.58
[GET] Product details,4228,4880,4973,8294,8946,10443,1,14286,1.09%,1.08723,106.81,18.86
Transaction Controller - Browse,2917,16298,16757,23994,25975,29054,518,36115,2.50%,0.74988,386,105.4
[POST] Search product - Autocomplete,5254,545,99,2286,3121,4526,3,6705,0.11%,1.3525,31.13,2.02
[POST] Add product to cart,1301,718,81,2776,3668,4858,15,7010,0.31%,0.33537,1.03,0.59
[POST] Ajax Add to cart,1301,127,59,78,88,2763,34,6477,0.00%,0.33538,1.2,0.59
[GET] Search,1749,1339,206,3401,4042,5201,61,8011,0.29%,0.45106,13.34,1.91
Transaction Controller - Add to cart,1301,10566,8149,22277,24811,30100,426,34400,1.23%,0.33526,102.75,26.48
[GET] View cart,1301,247,113,152,210,5051,45,8087,0.00%,0.33531,4.98,1.1
Search by term,1749,2974,2769,6115,6910,10082,229,17433,0.63%,0.45098,44.48,3.94
[GET] Open Product - Search result,1749,2910,2640,5423,6413,7924,99,11634,0.29%,0.45059,48.79,5.23
Transaction Controller - Search,1749,5884,5775,9525,11065,15333,362,24235,0.92%,0.45056,93.23,9.17
[POST] Update product quantity,137,565,84,2457,3770,4660,63,4761,0.00%,0.03601,0.08,0.08
[POST] Ajax cart refresh,137,111,67,92,103,984,54,4557,0.00%,0.03602,0.35,0.07
[POST] Ajax update cart,137,78,59,77,83,294,50,2135,0.00%,0.03602,0.03,0.07
[GET] View  cart,137,118,80,103,111,137,66,4926,0.00%,0.03602,0.45,0.07
Update cart,137,874,306,2753,4010,6929,245,12029,0.00%,0.03601,0.91,0.29
TOTAL,51470,4441,2766,11211,14463,22858,0,36115,0.57%,13.19132,3679.57,384.58
