Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JSR223 Sampler - Search terms script,5887,0,0,276,6.03,0.000%,1.50956,0.00,0.00,.0
[GET] Homepage,5887,10007,480,18697,3036.36,0.272%,1.50893,2439.03,90.52,1655189.8
[GET] Open Login page,1981,2869,0,8608,2276.52,0.505%,.50837,5.38,1.06,10843.2
[POST] Login,1981,2322,1,9848,1518.59,0.252%,.50825,8.79,2.37,17701.6
Login Action,1981,5191,2,15176,3074.19,0.707%,.50821,14.17,3.44,28544.8
[GET] Select Category,4238,4864,0,13600,3068.62,0.755%,1.08833,181.82,52.69,171074.1
[GET] Select Sub-Category,4231,4521,4,15385,3286.16,0.756%,1.08731,199.38,59.58,187767.6
[GET] Product details,4228,4880,1,14286,2605.89,1.088%,1.08723,106.81,18.86,100595.0
Transaction Controller - Browse,2917,16298,518,36115,6333.00,2.503%,.74988,386.00,105.40,527104.8
[POST] Search product - Autocomplete,5254,545,3,6705,1054.14,0.114%,1.35250,31.13,2.02,23566.0
[POST] Add product to cart,1301,718,15,7010,1234.90,0.307%,.33537,1.03,0.59,3157.6
[POST] Ajax Add to cart,1301,127,34,6477,506.10,0.000%,.33538,1.20,0.59,3667.7
[GET] Search,1749,1339,61,8011,1485.17,0.286%,.45106,13.34,1.91,30292.1
Transaction Controller - Add to cart,1301,10566,426,34400,8024.23,1.230%,.33526,102.75,26.48,313836.9
[GET] View cart,1301,247,45,8087,807.33,0.000%,.33531,4.98,1.10,15214.8
Search by term,1749,2974,229,17433,2402.80,0.629%,.45098,44.48,3.94,101004.0
[GET] Open Product - Search result,1749,2910,99,11634,1812.22,0.286%,.45059,48.79,5.23,110883.0
Transaction Controller - Search,1749,5884,362,24235,3155.20,0.915%,.45056,93.23,9.17,211887.0
[POST] Update product quantity,137,565,63,4761,1170.31,0.000%,.03601,0.08,0.08,2172.2
[POST] Ajax cart refresh,137,111,54,4557,389.32,0.000%,.03602,0.35,0.07,9937.0
[POST] Ajax update cart,137,78,50,2135,177.70,0.000%,.03602,0.03,0.07,808.0
[GET] View  cart,137,118,66,4926,412.44,0.000%,.03602,0.45,0.07,12910.3
Update cart,137,874,245,12029,1567.36,0.000%,.03601,0.91,0.29,25827.5
TOTAL,51470,4441,0,36115,5230.67,0.565%,13.19132,3679.57,384.58,285633.7
