Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[GET] Homepage,3858,58083,67102,91480,99199,116747,479,216708,4.33%,1.06104,1708,63.4
[GET] Open Login page,1298,23978,29792,34656,37765,53060,74,86730,0.15%,0.35901,4.61,0.81
[POST] Login,1284,13902,15026,17966,31014,64884,1,90869,0.23%,0.35629,8.4,1.75
Login Action,1284,37789,45317,52423,64537,115183,314,173305,0.39%,0.35624,12.99,2.55
[GET] Select Category,2709,32201,31298,64926,72304,89358,0,195806,3.73%,0.74765,123.42,35.81
[GET] Select Sub-Category,2672,30899,30283,66867,73774,89902,0,125425,3.07%,0.73685,134.93,40.19
[GET] Product details,2654,32343,32754,60752,67269,81041,1,115850,3.88%,0.73316,72.06,12.67
Transaction Controller - Browse,1815,107885,116471,182650,196808,229012,255,319054,8.32%,0.50621,257.91,70.21
[POST] Search product - Autocomplete,3296,3950,102,16312,17779,24902,1,43668,0.12%,0.91609,20.9,1.37
[GET] Search,1096,7183,877,17360,19697,29238,61,45415,0.46%,0.30507,8.93,1.28
Search by term,1094,18934,16312,35813,41481,82225,230,140946,0.82%,0.30585,29.9,2.65
[GET] Open Product - Search result,1094,17018,15822,35218,42523,62004,16,88613,1.92%,0.30416,33.07,3.56
Transaction Controller - Search,1084,35851,33866,64415,76238,122022,392,229559,2.68%,0.30465,62.92,6.21
[POST] Add product to cart,805,6305,92,17029,18687,27414,36,46845,0.37%,0.22416,0.69,0.39
[POST] Ajax Add to cart,803,868,57,74,102,22805,1,41088,0.13%,0.225,0.81,0.39
Transaction Controller - Add to cart,803,71162,35943,183917,197181,230568,372,299454,5.48%,0.22479,68.41,17.68
[GET] View cart,803,1349,110,157,1109,44268,46,56327,0.00%,0.22497,3.74,0.77
[POST] Update product quantity,85,591,81,117,831,16643,66,23619,0.00%,0.02416,0.05,0.05
[POST] Ajax cart refresh,85,267,67,88,106,1008,55,15465,0.00%,0.02416,0.23,0.05
[POST] Ajax update cart,85,283,58,74,81,477,51,18564,0.00%,0.02416,0.02,0.05
[GET] View  cart,85,335,77,99,113,545,66,21268,0.00%,0.02416,0.3,0.05
Update cart,85,1477,291,701,1130,16827,246,78916,0.00%,0.02415,0.61,0.2
TOTAL,32735,28604,15567,75399,97986,178424,0,319054,2.23%,9.00183,2543.83,260.16
