Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[GET] Homepage,4219,24687,488,78040,14171.08,0.74%,1.16674,1885.13,69.98,1654491.5
[GET] Open Login page,1423,10304,9,23961,6391.75,0.07%,0.39457,4.19,0.83,10881.8
[POST] Login,1417,5995,230,45954,4504.41,0.14%,0.39358,6.81,1.84,17719
Login Action,1417,16287,307,66193,10171.64,0.21%,0.39351,10.99,2.66,28600.8
[GET] Select Category,3007,13350,1,63307,10403.11,0.37%,0.83344,137.03,39.89,168363.5
[GET] Select Sub-Category,2993,12808,0,51595,11499.92,0.54%,0.82968,152.76,45.75,188537.1
[GET] Product details,2976,13867,1,48713,10291.03,0.54%,0.82599,81.47,14.42,101006
Transaction Controller - Browse,2053,45357,440,144421,29143.91,0.68%,0.57199,292.19,79.81,523101
[POST] Search product - Autocomplete,3704,1658,7,16935,3025.13,0.05%,1.03175,23.13,1.55,22951.7
[GET] Search,1234,3115,61,26598,3878.29,0.16%,0.34426,10.14,1.45,30169.7
Search by term,1234,8083,235,60568,7464.09,0.32%,0.3442,33.28,3,99012.3
[GET] Open Product - Search result,1234,7172,97,41034,5843.15,0.32%,0.34257,37.26,4.01,111364.6
Transaction Controller - Search,1232,15209,349,97061,11394.47,0.57%,0.34376,70.62,7.01,210365.7
[POST] Add product to cart,914,2653,1,13291,3525.63,0.22%,0.25594,0.8,0.45,3185
[POST] Ajax Add to cart,914,286,0,13665,1395.67,0.11%,0.25594,0.92,0.45,3673.8
Transaction Controller - Add to cart,914,30538,426,123664,30402.05,0.77%,0.25579,79.24,20.69,317224.2
[GET] View cart,914,512,1,29420,2405.5,0.11%,0.25592,3.8,0.84,15209.2
[POST] Update product quantity,97,509,64,9379,1776.43,0.00%,0.02768,0.06,0.06,2144.9
[POST] Ajax cart refresh,97,318,55,8145,1218.73,0.00%,0.02768,0.27,0.06,10114.7
[POST] Ajax update cart,97,199,50,13395,1346.82,0.00%,0.02768,0.02,0.06,808
[GET] View  cart,97,157,67,7578,757.51,0.00%,0.02768,0.35,0.06,12895.2
Update cart,97,1184,244,33756,4207.25,0.00%,0.02768,0.7,0.22,25962.8
TOTAL,36503,12111,0,144421,16533.08,0.34%,10.0929,2825.07,293.74,286624.9
