Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[POST] Search product - Autocomplete - Partial type - not,32,58,43,67,70,410,35,410,0.000%,.02928,0.06,0.04
[POST] Search product - Autocomplete - Partial type - note,32,100,94,114,118,235,82,235,0.000%,.02928,0.57,0.04
[POST] Search product - Autocomplete - notebook,32,147,89,115,193,942,83,942,0.000%,.02928,0.57,0.04
[GET] Search notebook,32,167,121,254,283,1084,73,1084,0.000%,.02928,1.11,0.15
[POST] Search product - Autocomplete - Partial type - sho,104,76,67,98,110,178,1,549,0.962%,.04399,0.48,0.07
[POST] Search product - Autocomplete - Partial type - shoe,104,165,151,203,244,344,1,425,0.962%,.04399,2.61,0.07
[POST] Search product - Autocomplete - shoes,104,89,87,110,123,149,68,188,0.000%,.04399,0.86,0.07
[GET] Search shoes,104,156,124,196,251,1150,79,1368,0.000%,.04399,1.71,0.26
[GET] Select Sub-Category - /en/40-bluetooth-speakers,106,559,501,923,1237,1568,240,1745,0.000%,.04505,9.23,2.98
[GET] Select Sub-Category - /en/39-wireless-headphones,80,566,505,691,1259,1507,240,3512,0.000%,.03458,8.08,2.38
[POST] Search product - Autocomplete - Partial type - mou,38,151,136,179,188,502,119,502,0.000%,.03437,1.42,0.05
[POST] Search product - Autocomplete - Partial type - moun,38,149,124,149,169,986,100,986,0.000%,.03437,1.42,0.05
[POST] Search product - Autocomplete - Partial type - lap,99,123,104,136,141,300,89,1217,0.000%,.04258,1.27,0.07
[POST] Search product - Autocomplete - mountain,38,124,121,144,158,173,98,173,0.000%,.03437,1.42,0.05
[GET] Search mountain,38,206,167,227,266,1266,138,1266,0.000%,.03436,2.56,0.36
[POST] Search product - Autocomplete - Partial type - lapt,99,116,106,140,191,221,93,362,0.000%,.04258,1.53,0.07
[POST] Search product - Autocomplete - laptop,99,96,81,104,118,427,61,858,0.000%,.04258,0.84,0.07
[GET] Search laptop,99,130,117,144,180,409,75,1071,0.000%,.04258,1.60,0.26
[GET] Select Sub-Category - /en/41-home-cinema-systems,62,561,494,805,1124,1518,267,2718,0.000%,.02685,5.84,1.83
Login Action,959,396,346,436,631,1342,273,2712,0.417%,.80210,22.39,5.42
Browse products,67,971,799,1421,2261,2605,391,3186,1.493%,.05825,15.37,4.48
[POST] Update product quantity - increase qty,66,130,81,102,391,987,43,1109,0.000%,.05810,0.12,0.12
[POST] Ajax cart refresh,66,74,67,99,112,118,40,193,0.000%,.05810,0.56,0.12
[POST] Ajax update cart product qty,66,63,57,71,82,97,38,306,0.000%,.05810,0.05,0.12
Update cart,66,268,209,275,792,1180,121,1227,0.000%,.05809,0.73,0.35
TOTAL,19246,303,175,686,946,1611,0,8976,0.161%,7.86360,2024.84,172.94
