Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
[POST] Search product - Autocomplete - Partial type - lap,81,134,110,142,218,665,89,1032,0.000%,.03253,0.97,0.05
[POST] Search product - Autocomplete - Partial type - lapt,81,110,107,134,136,156,93,164,0.000%,.03253,1.17,0.05
[GET] Select Sub-Category - /en/91-educational-toys,83,509,516,634,734,1187,240,1361,0.000%,.03371,7.21,2.32
[POST] Search product - Autocomplete - laptop,81,86,80,94,99,118,60,717,0.000%,.03253,0.64,0.05
[GET] Search laptop,81,129,118,142,153,245,73,1041,2.469%,.03253,1.23,0.21
[GET] Select Sub-Category - /en/5-women,84,149,116,153,272,985,84,1076,0.000%,.03393,0.59,0.09
[POST] Search product - Autocomplete - Partial type - swe,110,72,66,98,106,150,53,190,0.000%,.04436,0.43,0.07
[POST] Search product - Autocomplete - Partial type - swea,110,63,60,74,79,103,53,160,0.000%,.04436,0.43,0.07
[POST] Search product - Autocomplete - sweater,110,65,61,76,83,104,53,215,0.000%,.04436,0.43,0.07
[GET] Search sweater,110,97,80,100,109,654,61,886,0.000%,.04436,0.55,0.07
[GET] Select Sub-Category - /en/58-office-chairs,81,549,505,831,1162,1362,249,1458,0.000%,.03310,7.25,2.29
[GET] Select Sub-Category - /en/46-gaming-consoles,71,520,497,705,714,1175,244,1351,0.000%,.02960,6.74,2.10
[GET] Select Sub-Category - /en/38-smart-tvs,91,554,492,744,1312,1626,240,2491,0.000%,.03702,8.06,2.48
[GET] Select Sub-Category - /en/90-building-sets,97,550,503,781,890,1589,252,3159,0.000%,.03944,8.05,2.58
[POST] Search product - Autocomplete - Partial type - not,39,49,42,62,71,122,35,122,0.000%,.03541,0.08,0.05
[POST] Search product - Autocomplete - Partial type - note,39,92,92,103,106,112,82,112,0.000%,.03541,0.69,0.05
[POST] Search product - Autocomplete - notebook,39,96,90,101,114,314,83,314,0.000%,.03541,0.69,0.05
[GET] Search notebook,39,112,118,141,145,167,73,167,0.000%,.03541,1.15,0.15
[GET] Select Sub-Category - /en/39-wireless-headphones,79,522,509,732,813,873,239,1462,0.000%,.03243,7.94,2.33
Login Action,976,375,341,412,535,1006,123,2826,0.000%,.81404,22.74,5.50
Browse products,68,886,791,1341,1491,1675,329,2133,0.000%,.05886,15.84,4.62
[POST] Update product quantity - increase qty,67,87,81,99,105,129,66,422,0.000%,.05890,0.12,0.13
[POST] Ajax cart refresh,67,68,64,83,100,102,55,105,0.000%,.05890,0.57,0.12
[POST] Ajax update cart product qty,67,58,57,65,69,71,50,71,0.000%,.05890,0.05,0.12
Update cart,67,214,208,243,259,263,173,571,0.000%,.05889,0.74,0.36
TOTAL,19508,280,170,626,815,1442,0,6556,0.174%,7.66036,1967.76,167.23
