Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
[GET] Search sweater,103,88,62,326,39.53,0.000%,.04337,0.54,0.07,12686.7
[POST] Search product - Autocomplete - Partial type - not,32,58,35,410,63.98,0.000%,.02928,0.06,0.04,2205.2
[POST] Search product - Autocomplete - Partial type - note,32,100,82,235,26.59,0.000%,.02928,0.57,0.04,19915.1
[POST] Search product - Autocomplete - notebook,32,147,83,942,202.49,0.000%,.02928,0.57,0.04,19915.0
[GET] Search notebook,32,167,73,1084,177.24,0.000%,.02928,1.11,0.15,38891.9
[POST] Search product - Autocomplete - Partial type - sho,104,76,1,549,50.41,0.962%,.04399,0.48,0.07,11195.8
[POST] Search product - Autocomplete - Partial type - shoe,104,165,1,425,46.60,0.962%,.04399,2.61,0.07,60756.5
[POST] Search product - Autocomplete - shoes,104,89,68,188,18.32,0.000%,.04399,0.86,0.07,19915.0
[GET] Search shoes,104,156,79,1368,162.42,0.000%,.04399,1.71,0.26,39822.4
[GET] Select Sub-Category - /en/40-bluetooth-speakers,106,559,240,1745,282.78,0.000%,.04505,9.23,2.98,209839.5
[GET] Select Sub-Category - /en/39-wireless-headphones,80,566,240,3512,403.69,0.000%,.03458,8.08,2.38,239189.1
[POST] Search product - Autocomplete - Partial type - mou,38,151,119,502,61.27,0.000%,.03437,1.42,0.05,42244.3
[POST] Search product - Autocomplete - Partial type - moun,38,149,100,986,138.82,0.000%,.03437,1.42,0.05,42244.1
[POST] Search product - Autocomplete - Partial type - lap,99,123,89,1217,113.64,0.000%,.04258,1.27,0.07,30632.2
[POST] Search product - Autocomplete - mountain,38,124,98,173,17.04,0.000%,.03437,1.42,0.05,42244.1
[GET] Search mountain,38,206,138,1266,177.46,0.000%,.03436,2.56,0.36,76161.5
[POST] Search product - Autocomplete - Partial type - lapt,99,116,93,362,35.59,0.000%,.04258,1.53,0.07,36717.0
[POST] Search product - Autocomplete - laptop,99,96,61,858,91.61,0.000%,.04258,0.84,0.07,20094.0
[GET] Search laptop,99,130,75,1071,102.85,0.000%,.04258,1.60,0.26,38383.2
[GET] Select Sub-Category - /en/41-home-cinema-systems,62,561,267,2718,360.91,0.000%,.02685,5.84,1.83,222525.6
Login Action,959,396,273,2712,206.76,0.417%,.80210,22.39,5.42,28579.5
Browse products,67,971,391,3186,505.76,1.493%,.05825,15.37,4.48,270212.9
[POST] Update product quantity - increase qty,66,130,43,1109,193.21,0.000%,.05810,0.12,0.12,2128.0
[POST] Ajax cart refresh,66,74,40,193,21.96,0.000%,.05810,0.56,0.12,9911.7
[POST] Ajax update cart product qty,66,63,38,306,31.65,0.000%,.05810,0.05,0.12,805.6
Update cart,66,268,121,1227,208.19,0.000%,.05809,0.73,0.35,12845.3
TOTAL,19246,303,0,8976,401.28,0.161%,7.86360,2024.84,172.94,263675.4
